id,release_date,movie,production_budget,domestic_gross,worldwide_gross
1,12/18/2009,avatar,425000000,760507625,2776345279
2,05/20/2011,pirates of the caribbean: on stranger tides,410600000,241063875,1045663875
3,06/07/2019,dark phoenix,350000000,42762350,149762350
4,05/01/2015,avengers: age of ultron,330600000,459005868,1403013963
5,12/15/2017,star wars ep. viii: the last jedi,317000000,620181382,1316721747
6,12/18/2015,star wars ep. vii: the force awakens,306000000,936662225,2053311220
7,04/27/2018,avengers: infinity war,300000000,678815482,2048134200
8,05/24/2007,pirates of the caribbean: at worldâs end,300000000,309420425,963420425
9,11/17/2017,justice league,300000000,229024295,655945209
10,11/06/2015,spectre,300000000,200074175,879620923
11,07/20/2012,the dark knight rises,275000000,448139099,1084439099
12,05/25/2018,solo: a star wars story,275000000,213767512,393151347
13,07/02/2013,the lone ranger,275000000,89302115,260002115
14,03/09/2012,john carter,275000000,73058679,282778100
15,11/24/2010,tangled,260000000,200821936,586477240
16,05/04/2007,spider-man 3,258000000,336530303,894860230
17,05/06/2016,captain america: civil war,250000000,408084349,1140069413
18,03/25/2016,batman v superman: dawn of justice,250000000,330360194,867500281
19,12/14/2012,the hobbit: an unexpected journey,250000000,303003568,1017003568
20,07/15/2009,harry potter and the half-blood prince,250000000,302089278,935213767
21,12/13/2013,the hobbit: the desolation of smaug,250000000,258366855,960366855
22,12/17/2014,the hobbit: the battle of the five armies,250000000,255119788,945577621
23,04/14/2017,the fate of the furious,250000000,225764765,1234846267
24,06/28/2006,superman returns,232000000,200120000,374085065
25,05/26/2017,pirates of the caribbean: dead men tell no tales,230000000,172558876,788241137
26,11/14/2008,quantum of solace,230000000,169368427,591692078
27,05/04/2012,the avengers,225000000,623279547,1517935897
28,07/07/2006,pirates of the caribbean: dead manâs chest,225000000,423315812,1066215812
29,06/14/2013,man of steel,225000000,291045518,667999518
30,05/16/2008,the chronicles of narnia: prince caspian,225000000,141621490,417341288
31,07/03/2012,the amazing spider-man,220000000,262030663,757890267
32,05/18/2012,battleship,220000000,65233400,313477717
33,06/21/2017,transformers: the last knight,217000000,130168683,602893340
34,06/12/2015,jurassic world,215000000,652270625,1648854864
35,05/25/2012,men in black 3,215000000,179020854,654213485
36,06/24/2009,transformers: revenge of the fallen,210000000,402111870,836519699
37,06/27/2014,transformers: age of extinction,210000000,245439076,1104039076
38,05/26/2006,x-men: the last stand,210000000,234362462,459260946
39,05/14/2010,robin hood,210000000,105487148,322459006
40,12/14/2005,king kong,207000000,218080025,550517357
41,12/07/2007,the golden compass,205000000,70107728,367262558
42,02/16/2018,black panther,200000000,700059566,1348258224
43,12/19/1997,titanic,200000000,659363944,2208208395
44,06/15/2018,incredibles 2,200000000,608581744,1242520711
45,12/16/2016,rogue one: a star wars story,200000000,532177324,1049102856
46,06/17/2016,finding dory,200000000,486295561,1021215193
47,06/18/2010,toy story 3,200000000,415004880,1068879522
48,05/03/2013,iron man 3,200000000,408992272,1215392272
49,05/05/2017,guardians of the galaxy vol 2,200000000,389813101,862316233
50,06/30/2004,spider-man 2,200000000,373524485,795110670
51,03/05/2010,alice in wonderland,200000000,334191110,1025491110
52,11/08/2012,skyfall,200000000,304360277,1110526981
53,06/21/2013,monsters university,200000000,268488329,743588329
54,03/08/2013,oz the great and powerful,200000000,234770996,490359051
55,05/23/2014,x-men: days of future past,200000000,233921534,747862775
56,05/02/2014,the amazing spider-man 2,200000000,202853933,708996336
57,06/24/2011,cars 2,200000000,191450875,560155383
58,12/17/2010,tron: legacy,200000000,172062763,400062763
59,11/13/2009,2012,200000000,166112167,757677748
60,11/16/2018,fantastic beasts: the crimes of grindelwald,200000000,159555901,652220086
61,05/21/2009,terminator salvation,200000000,125322469,365491792
62,06/17/2011,green lantern,200000000,116601172,219535492
63,05/28/2010,prince of persia: sands of time,200000000,90759676,336359676
64,06/29/2011,transformers: dark of the moon,195000000,352390543,1123790543
65,06/09/2017,the mummy,195000000,80101125,409953905
66,03/01/2013,jack the giant slayer,195000000,65187603,197687603
67,04/03/2015,furious 7,190000000,353007020,1518722794
68,05/16/2013,star trek into darkness,190000000,228778661,467381584
69,06/21/2013,world war z,190000000,202359711,531514650
70,05/10/2013,the great gatsby,190000000,144840419,351040419
71,11/06/2009,disneyâs a christmas carol,190000000,137855863,315709697
72,07/12/2013,pacific rim,190000000,101802906,411002906
73,11/25/2015,the good dinosaur,187500000,123087120,333771037
74,05/02/2008,iron man,186000000,318604126,585171547
75,07/18/2008,the dark knight,185000000,533720947,1001996207
76,05/22/2008,indiana jones and the kingdom of the crystal skull,185000000,317101119,786635413
77,06/22/2012,brave,185000000,237282182,554606532
78,03/10/2017,kong: skull island,185000000,168052812,561072059
79,07/22/2016,star trek beyond,185000000,158848340,335802233
80,10/06/2017,blade runner 2049,185000000,92054159,259357408
81,05/24/2019,aladdin,182000000,246734314,619234314
82,11/03/2017,thor: ragnarok,180000000,315058289,846980024
83,12/09/2005,"the chronicles of narnia: the lion, the witch and the wardrobe",180000000,291710957,720539572
84,05/30/2014,maleficent,180000000,241407328,758536735
85,11/18/2016,fantastic beasts and where to find them,180000000,234037575,802402853
86,06/27/2008,wall-e,180000000,223808164,532508025
87,08/10/2007,rush hour 3,180000000,140125968,256585882
88,07/01/2016,the legend of tarzan,180000000,126643061,348902025
89,11/23/2011,hugo,180000000,73864507,180047784
90,07/21/2017,valerian and the city of a thousand planets,180000000,40479370,215098356
91,02/06/2015,jupiter ascending,179000000,47482519,181982519
92,07/27/2018,mission: impossibleâfallout,178000000,220159104,787456552
93,05/27/2016,x-men: apocalypse,178000000,155442489,542537546
94,08/10/2018,the meg,178000000,145443742,529530715
95,06/06/2014,edge of tomorrow,178000000,100206256,370541256
96,03/08/2019,captain marvel,175000000,426525952,1123061550
97,04/15/2016,the jungle book,175000000,364001123,962854547
98,06/19/2015,inside out,175000000,356461711,854235992
99,07/07/2017,spider-man: homecoming,175000000,334201140,880166350
100,08/05/2016,suicide squad,175000000,325100054,746059887
1,05/29/2009,up,175000000,293004164,731463377
2,11/22/2017,coco,175000000,209726015,798008101
3,11/21/2018,ralph breaks the internet,175000000,201091711,524283695
4,03/27/2009,monsters vs. aliens,175000000,198351526,381687380
5,06/16/2017,cars 3,175000000,152901115,383541369
6,08/07/2009,g.i. joe: the rise of cobra,175000000,150201498,302469017
7,06/30/1999,wild wild west,175000000,113805681,221229335
8,08/01/2008,the mummy: tomb of the dragon emperor,175000000,102491776,405760225
9,06/22/2007,evan almighty,175000000,100289690,174131329
10,07/28/1995,waterworld,175000000,88246220,264246220
11,05/12/2017,king arthur: legend of the sword,175000000,39175066,139630336
12,12/25/2013,47 ronin,175000000,38362475,151716815
13,06/22/2018,jurassic world: fallen kingdom,170000000,417719760,1305772799
14,08/01/2014,guardians of the galaxy,170000000,333172112,770867516
15,05/07/2010,iron man 2,170000000,312433331,621156389
16,04/04/2014,captain america: the winter soldier,170000000,259746958,714401889
17,07/11/2014,dawn of the planet of the apes,170000000,208545589,710644566
18,11/10/2004,the polar express,170000000,187224605,311365187
19,06/01/2012,snow white and the huntsman,170000000,155136755,401021746
20,07/01/2003,terminator 3: rise of the machines,170000000,150358296,433058296
21,05/07/2004,van helsing,170000000,120150546,300150546
22,03/29/2019,dumbo,170000000,113883318,345004422
23,05/22/2015,tomorrowland,170000000,93436322,206627518
24,02/14/2019,alita: battle angel,170000000,85710210,402976036
25,05/31/2019,godzilla: king of the monsters,170000000,85576941,299276941
26,05/27/2016,alice through the looking glass,170000000,77042381,276928112
27,05/21/2010,shrek forever after,165000000,238736787,756244673
28,11/04/2016,doctor strange,165000000,232641920,676404566
29,11/07/2014,big hero 6,165000000,222527828,652127828
30,03/26/2010,how to train your dragon,165000000,217581232,494870992
31,11/02/2012,wreck-it ralph,165000000,189412677,496511521
32,11/05/2014,interstellar,165000000,188017894,666379375
33,06/24/2016,independence day: resurgence,165000000,103144286,384169424
34,07/29/2011,cowboys and aliens,163000000,100368560,176038324
35,03/17/2017,beauty and the beast,160000000,504014165,1259199706
36,12/21/2018,aquaman,160000000,335061807,1146894640
37,05/17/2007,shrek the third,160000000,322719944,807330936
38,07/16/2010,inception,160000000,292576195,835524642
39,11/20/2015,the hunger games: mockingjay - part 2,160000000,281723902,648986787
40,05/24/2013,fast and furious 6,160000000,238679850,789300444
41,05/16/2014,godzilla,160000000,200676069,529076069
42,06/03/2011,x-men: first class,160000000,146408305,355408305
43,12/25/2008,the curious case of benjamin button,160000000,127509326,329631958
44,07/14/2010,the sorcerer's apprentice,160000000,63150991,217986320
45,05/12/2006,poseidon,160000000,60674817,181674817
46,06/10/2016,warcraft,160000000,47225655,425522281
47,09/30/2016,deepwater horizon,156000000,61433527,122603824
48,12/10/2010,the chronicles of narnia: the voyage of the dawn treader,155000000,104386950,418186950
49,07/01/2015,terminator: genisys,155000000,89760956,432150894
50,03/23/2018,pacific rim: uprising,155000000,59874525,290930148
51,11/24/2004,alexander,155000000,34297191,167297191
